date,time,open,high,low,close,Volume
07-06-2021,09:45:00,15705.7,15705.7,15695.65,15700.15,0
07-06-2021,09:50:00,15700.05,15700.05,15680.6,15697.45,0
07-06-2021,09:55:00,15696.5,15702.25,15692.95,15701.7,0
07-06-2021,10:00:00,15701.2,15709.8,15701.2,15704.8,0
07-06-2021,10:05:00,15704.7,15708.2,15698.95,15708.2,0
07-06-2021,10:10:00,15706.55,15715.95,15705.9,15715.65,0
07-06-2021,10:15:00,15715.6,15723.45,15713.4,15722.9,0
07-06-2021,10:20:00,15723.5,15729.45,15718.9,15720.5,0
07-06-2021,10:25:00,15720.15,15720.15,15713.05,15715.3,0
07-06-2021,10:30:00,15715.85,15720.4,15715.15,15719.65,0
07-06-2021,10:35:00,15719.65,15724.9,15717.9,15722.85,0
07-06-2021,10:40:00,15723.1,15724,15717.7,15718.3,0
07-06-2021,10:45:00,15718.2,15725,15713.6,15725,0
07-06-2021,10:50:00,15724.75,15730.9,15723.6,15729.45,0
07-06-2021,10:55:00,15729.7,15737.35,15729.45,15733.65,0
07-06-2021,11:00:00,15733,15738.85,15732.9,15737.7,0
07-06-2021,11:05:00,15737.4,15738.6,15732.4,15736.6,0
07-06-2021,11:10:00,15736.95,15737.15,15732.9,15735.15,0
07-06-2021,11:15:00,15736.25,15736.3,15720.15,15726.85,0
07-06-2021,11:20:00,15726.95,15730.2,15723.45,15723.6,0
07-06-2021,11:25:00,15723.35,15731.95,15722.85,15726.75,0
07-06-2021,11:30:00,15727.8,15728.75,15721.1,15725.95,0
07-06-2021,11:35:00,15725.95,15733.6,15723.7,15732.2,0
07-06-2021,11:40:00,15731.8,15737.15,15731.25,15733.15,0
07-06-2021,11:45:00,15733.4,15734.5,15725.05,15727.05,0
07-06-2021,11:50:00,15727.55,15729.8,15725.65,15727.95,0
07-06-2021,11:55:00,15727.3,15731.25,15722.25,15725.75,0
07-06-2021,12:00:00,15725.45,15727.35,15720.6,15721.5,0
07-06-2021,12:05:00,15721.25,15722.4,15716.85,15720.8,0
07-06-2021,12:10:00,15719.9,15722.1,15717.9,15719.35,0
07-06-2021,12:15:00,15719.55,15723.8,15713.35,15722.75,0
07-06-2021,12:20:00,15722.95,15725.45,15719.65,15721.45,0
07-06-2021,12:25:00,15721.45,15727.65,15720.1,15726.35,0
07-06-2021,12:30:00,15727.35,15728.5,15722.45,15725.3,0
07-06-2021,12:35:00,15725.2,15733.65,15724.7,15725.05,0
07-06-2021,12:40:00,15725.65,15726.55,15713.35,15715.85,0
07-06-2021,12:45:00,15716.1,15716.1,15703.45,15703.7,0
07-06-2021,12:50:00,15704.15,15709.95,15702.05,15702.6,0
07-06-2021,12:55:00,15702.2,15711.4,15702.1,15708.65,0
07-06-2021,13:00:00,15708.75,15712.85,15707.25,15712.85,0
07-06-2021,13:05:00,15712.25,15722.8,15712.25,15722.15,0
07-06-2021,13:10:00,15722.25,15736.55,15720.95,15736.55,0
07-06-2021,13:15:00,15735.4,15745.5,15734.35,15745,0
07-06-2021,13:20:00,15745.05,15748.1,15737.45,15743.15,0
07-06-2021,13:25:00,15742.8,15746.95,15738.55,15742,0
07-06-2021,13:30:00,15741.2,15749.85,15740,15747.55,0
07-06-2021,13:35:00,15747.45,15755.95,15745.65,15753.85,0
07-06-2021,13:40:00,15754.85,15762.4,15751.2,15760.55,0
07-06-2021,13:45:00,15760.15,15762.25,15751.55,15752.2,0
07-06-2021,13:50:00,15751.7,15757,15750.5,15751.6,0
07-06-2021,13:55:00,15751.5,15757.15,15744.25,15751.25,0
07-06-2021,14:00:00,15751.05,15754.45,15744.65,15752.8,0
07-06-2021,14:05:00,15752.9,15755.4,15750.2,15750.2,0
07-06-2021,14:10:00,15750.8,15758.4,15748.95,15754.9,0
07-06-2021,14:15:00,15754.5,15772.55,15752.05,15771.55,0
07-06-2021,14:20:00,15771.45,15773,15760.05,15762.05,0
07-06-2021,14:25:00,15761.9,15764.65,15758.6,15763.95,0
07-06-2021,14:30:00,15764,15767.05,15759.9,15760.35,0
07-06-2021,14:35:00,15761.15,15771.25,15761.15,15767.85,0
07-06-2021,14:40:00,15767.4,15768.25,15758.75,15760.45,0
07-06-2021,14:45:00,15759.85,15760.5,15750,15754.45,0
07-06-2021,14:50:00,15754.4,15757.45,15753.25,15756.55,0
07-06-2021,14:55:00,15756.4,15763.55,15755.05,15756.7,0
07-06-2021,15:00:00,15756.65,15763.7,15751.4,15763.55,0
07-06-2021,15:05:00,15763.65,15764.15,15749.3,15754.75,0
07-06-2021,15:10:00,15755,15756.3,15747.2,15752.55,0
07-06-2021,15:15:00,15752,15752,15744.4,15748.8,0
07-06-2021,15:20:00,15748.25,15757.75,15742.2,15746.5,0
07-06-2021,15:25:00,15746.95,15755.25,15743.15,15747,0
08-06-2021,09:15:00,15778.8,15775.55,15739.2,15760.55,0
08-06-2021,09:20:00,15760.15,15769.5,15753.5,15753.55,0
08-06-2021,09:25:00,15752.95,15754.3,15736.1,15741.25,0
08-06-2021,09:30:00,15740.35,15755.45,15738.35,15738.75,0
08-06-2021,09:35:00,15738.25,15744.15,15734.2,15739.5,0
08-06-2021,09:40:00,15738.45,15738.75,15711,15711.85,0
08-06-2021,09:45:00,15710.55,15715.9,15703.1,15711.05,0
08-06-2021,09:50:00,15710.15,15721.65,15707.5,15707.5,0
08-06-2021,09:55:00,15708.45,15708.45,15687.65,15689.9,0
08-06-2021,10:00:00,15690.35,15700.7,15680.55,15695.4,0
08-06-2021,10:05:00,15695.6,15712.5,15689.9,15704.3,0
08-06-2021,10:10:00,15704.25,15709.1,15695.2,15695.35,0
08-06-2021,10:15:00,15695.15,15702,15691.25,15696.5,0
08-06-2021,10:20:00,15695.65,15715.2,15695.65,15712.7,0
08-06-2021,10:25:00,15713.65,15719.2,15712.3,15717.5,0
08-06-2021,10:30:00,15717.4,15720.9,15715.05,15717.35,0
08-06-2021,10:35:00,15716.9,15719.95,15707.5,15708,0
08-06-2021,10:40:00,15707.3,15719.4,15707.3,15713.65,0
08-06-2021,10:45:00,15713.25,15719.65,15712.7,15713.6,0
08-06-2021,10:50:00,15712.9,15717.5,15709.8,15711.95,0
08-06-2021,10:55:00,15712.6,15725.6,15711.35,15723.95,0
08-06-2021,11:00:00,15724.2,15726.6,15721.75,15723.95,0
08-06-2021,11:05:00,15724.4,15725.45,15722.1,15723.7,0
08-06-2021,11:10:00,15723.7,15723.7,15715.2,15719.85,0
08-06-2021,11:15:00,15719.7,15729.9,15718.95,15729.35,0
08-06-2021,11:20:00,15728.95,15731,15721.1,15721.35,0
08-06-2021,11:25:00,15721.35,15729,15720.5,15729,0
08-06-2021,11:30:00,15728.15,15731.25,15725.1,15730.65,0
08-06-2021,11:35:00,15730.7,15733.15,15725.4,15727.75,0
08-06-2021,11:40:00,15727.9,15737.8,15725.35,15736.65,0
08-06-2021,11:45:00,15737.4,15741.45,15727.9,15729.2,0
08-06-2021,11:50:00,15729.15,15729.35,15722.15,15727.15,0
08-06-2021,11:55:00,15727.8,15730.75,15717.25,15717.6,0
08-06-2021,12:00:00,15717.65,15719.2,15711.2,15712.15,0
08-06-2021,12:05:00,15713.3,15713.7,15701.55,15704.8,0
08-06-2021,12:10:00,15704.3,15715.3,15701.05,15713.75,0
08-06-2021,12:15:00,15713.6,15719.55,15713.6,15714.3,0
08-06-2021,12:20:00,15714.7,15718.25,15712.1,15716.7,0
08-06-2021,12:25:00,15717.1,15720.8,15715.75,15719.15,0
08-06-2021,12:30:00,15719.25,15720.75,15715,15717,0
08-06-2021,12:35:00,15717,15725.15,15716.2,15724,0
08-06-2021,12:40:00,15723.8,15726.7,15723.2,15726,0
08-06-2021,12:45:00,15725.65,15729.6,15722.55,15726.15,0
08-06-2021,12:50:00,15725.65,15729.5,15724.1,15724.1,0
08-06-2021,12:55:00,15724.5,15726.4,15722.3,15724.15,0
08-06-2021,13:00:00,15724,15733.65,15724,15733,0
08-06-2021,13:05:00,15732.3,15737.6,15730.05,15735,0
08-06-2021,13:10:00,15735.35,15737.9,15725.95,15727.75,0
08-06-2021,13:15:00,15727.7,15733.8,15724,15733.55,0
08-06-2021,13:20:00,15733.5,15733.5,15727.4,15730.45,0
08-06-2021,13:25:00,15730.25,15752.9,15727.35,15745.45,0
08-06-2021,13:30:00,15747.3,15756.25,15744.8,15752.6,0
08-06-2021,13:35:00,15751.95,15753.3,15744.85,15748.4,0
08-06-2021,13:40:00,15748.55,15749.7,15739.95,15741.45,0
08-06-2021,13:45:00,15741.3,15742.35,15735.25,15740,0
08-06-2021,13:50:00,15739.75,15741.15,15735.05,15737.05,0
08-06-2021,13:55:00,15737.1,15738.4,15727.8,15734.6,0
08-06-2021,14:00:00,15734.5,15735.4,15715.85,15720.9,0
08-06-2021,14:05:00,15720.6,15729.1,15719.8,15728.05,0
08-06-2021,14:10:00,15728.4,15732.45,15726.9,15731.75,0
08-06-2021,14:15:00,15732.25,15734.05,15727.9,15732.4,0
08-06-2021,14:20:00,15733.55,15747.35,15732.85,15744.3,0
08-06-2021,14:25:00,15744.15,15744.65,15734.8,15741.95,0
08-06-2021,14:30:00,15743.05,15744.75,15736.75,15738.75,0
08-06-2021,14:35:00,15738.6,15743,15736.9,15741.75,0
